C	GO06	-- BHE -39.5839 -71.4720 1258.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO06	-- BHN -39.5839 -71.4720 1258.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO06	-- BHZ -39.5839 -71.4720 1258.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO06	-- HNE -39.5839 -71.4720 1258.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO06	-- HNN -39.5839 -71.4720 1258.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO06	-- HNZ -39.5839 -71.4720 1258.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO06	EP BDF -39.5839 -71.4720 1258.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO06	EP BDO -39.5839 -71.4720 1258.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO07	-- BHE -43.1142 -73.6644  178.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO07	-- BHN -43.1142 -73.6644  178.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO07	-- BHZ -43.1142 -73.6644  178.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO07	-- HNE -43.1142 -73.6644  178.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO07	-- HNN -43.1142 -73.6644  178.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO07	-- HNZ -43.1142 -73.6644  178.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO07	EP BDF -43.1142 -73.6644  178.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO07	EP BDO -43.1142 -73.6644  178.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO08	-- BHE -48.4648 -72.5566 1000.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO08	-- BHN -48.4648 -72.5566 1000.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO08	-- BHZ -48.4648 -72.5566 1000.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO08	-- HNE -48.4648 -72.5566 1000.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO08	-- HNN -48.4648 -72.5566 1000.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO08	-- HNZ -48.4648 -72.5566 1000.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO08	EP BDF -48.4648 -72.5566 1000.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO08	EP BDO -48.4648 -72.5566 1000.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO09	-- BHE -51.2707 -72.3381  372.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO09	-- BHN -51.2707 -72.3381  372.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO09	-- BHZ -51.2707 -72.3381  372.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO09	-- HNE -51.2707 -72.3381  372.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO09	-- HNN -51.2707 -72.3381  372.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO09	-- HNZ -51.2707 -72.3381  372.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO09	EP BDF -51.2707 -72.3381  372.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO09	EP BDO -51.2707 -72.3381  372.0  40.00 4.000000e+03    DU/M/S COMMENT
C	GO10	-- BHE -53.1546 -71.0498  652.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO10	-- BHN -53.1546 -71.0498  652.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO10	-- BHZ -53.1546 -71.0498  652.0  40.00 5.020650e+08    DU/M/S COMMENT
C	GO10	-- HNE -53.1546 -71.0498  652.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO10	-- HNN -53.1546 -71.0498  652.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO10	-- HNZ -53.1546 -71.0498  652.0 100.00 4.278940e+05    DU/M/S**2 COMMENT
C	GO10	EP BDF -53.1546 -71.0498  652.0  40.00 1.570190e+06    DU/M/S COMMENT
C	GO10	EP BDO -53.1546 -71.0498  652.0  40.00 4.000000e+03    DU/M/S COMMENT
C	HUNY	-- BHE -42.3790 -72.4142   50.0  40.00 6.277920e+08    DU/M/S COMMENT
C	HUNY	-- BHN -42.3790 -72.4142   50.0  40.00 6.277920e+08    DU/M/S COMMENT
C	HUNY	-- BHZ -42.3790 -72.4142   50.0  40.00 6.277920e+08    DU/M/S COMMENT
C	HUNY	-- HHE -42.3790 -72.4142   50.0 100.00 6.279870e+08    DU/M/S COMMENT
C	HUNY	-- HHN -42.3790 -72.4142   50.0 100.00 6.279870e+08    DU/M/S COMMENT
C	HUNY	-- HHZ -42.3790 -72.4142   50.0 100.00 6.279870e+08    DU/M/S COMMENT
C	LAJA	-- HNE -37.2809 -72.1120   84.0 200.00 4.281490e+05    DU/M/S**2 COMMENT
C	LAJA	-- HNN -37.2809 -72.1120   84.0 200.00 4.281490e+05    DU/M/S**2 COMMENT
C	LAJA	-- HNZ -37.2809 -72.1120   84.0 200.00 4.281490e+05    DU/M/S**2 COMMENT
C	LMEL	-- BHE -33.8476 -70.2075 1536.0  40.00 6.271920e+08    DU/M/S COMMENT
C	LMEL	-- BHN -33.8476 -70.2075 1536.0  40.00 6.271920e+08    DU/M/S COMMENT
C	LMEL	-- BHZ -33.8476 -70.2075 1536.0  40.00 6.271920e+08    DU/M/S COMMENT
C	LMEL	-- BNE -33.8476 -70.2075 1536.0  20.00 8.559810e+05    DU/M/S**2 COMMENT
C	LMEL	-- BNN -33.8476 -70.2075 1536.0  20.00 8.559810e+05    DU/M/S**2 COMMENT
C	LMEL	-- BNZ -33.8476 -70.2075 1536.0  20.00 8.559810e+05    DU/M/S**2 COMMENT
C	LMEL	-- HHE -33.8476 -70.2075 1536.0 100.00 6.276040e+08    DU/M/S COMMENT
C	LMEL	-- HHN -33.8476 -70.2075 1536.0 100.00 6.276040e+08    DU/M/S COMMENT
C	LMEL	-- HHZ -33.8476 -70.2075 1536.0 100.00 6.276040e+08    DU/M/S COMMENT
